,h3_index,atm_target,retail_300m,food_300m,business_300m,transport_300m,residential_300m,residential_500m,atm_competitors_300m,cluster,prob_success,competition_factor,potential_score,potential_cat
1,8911aa788d3ffff,0,11,25,8,24,12,43,11,1,0.7873228745838529,0.28695173228265203,0.5871744176633725,High
641,8911aa7a9cbffff,0,9,23,7,23,18,69,10,1,0.7732633719113092,0.2942998296638024,0.5816779550123065,High
68,8911aa7ac6fffff,0,6,31,8,30,13,55,6,1,0.7400535763480172,0.3394536660667255,0.5798136122355004,High
618,8911aa636dbffff,0,6,19,7,4,34,75,8,4,0.7328045247129761,0.312771272649591,0.564791223887622,High
454,8911aa7a927ffff,0,14,17,9,17,31,71,11,1,0.7489378160643484,0.28695173228265203,0.5641433825516698,High
458,8911aa7ac57ffff,0,5,10,5,6,25,64,0,4,0.2609159904785427,1.0,0.5565495942871257,High
203,8911aa63657ffff,0,15,44,10,55,2,13,14,2,0.7451009303365513,0.26968351175578803,0.554933962904246,High
191,8911aa7a823ffff,0,7,52,16,11,11,73,8,1,0.7144646555099858,0.312771272649591,0.553787302365828,High
298,8911aa6366fffff,0,14,45,12,15,15,37,0,1,0.2483316878608219,1.0,0.5489990127164932,High
494,8911aa7aba7ffff,0,12,48,11,17,27,104,10,3,0.7129195532726377,0.2942998296638024,0.5454716638291035,High
563,8911aa7a943ffff,0,18,60,7,16,26,90,8,3,0.6875552619292553,0.312771272649591,0.5376416662173895,High
158,8911aa7a8afffff,0,16,50,10,15,39,76,8,3,0.6853248494612728,0.312771272649591,0.5363034187366,High
315,8911aa7a8bbffff,0,7,36,8,15,14,91,12,1,0.7059035336483538,0.28050889359956055,0.5357456776288365,High
534,8911aa78da7ffff,0,7,13,10,18,27,80,6,1,0.6631650679379376,0.3394536660667255,0.5336805071894528,High
133,8911aa7a847ffff,0,10,54,9,16,31,107,7,3,0.6688740338824231,0.3247342047137871,0.5312181022149687,High
165,8911aa78c9bffff,0,21,77,14,27,31,89,12,2,0.6959718510385503,0.28050889359956055,0.5297866680629544,High
475,8911aa7ad67ffff,0,13,79,7,23,22,66,13,2,0.6993494277290497,0.2747964402379243,0.5295282327325995,High
577,8911aa632dbffff,0,11,26,8,12,38,81,6,3,0.6551767169041252,0.3394536660667255,0.5288874965691652,High
136,8911aa7ab1bffff,0,14,56,18,42,6,30,10,2,0.6837385624735178,0.2942998296638024,0.5279630693496317,High
16,8911aa7aa47ffff,0,8,28,7,12,16,49,8,1,0.6690942944787782,0.312771272649591,0.5265650857471034,High
